Plant_sp,Plant_com,Plant_fam,Pol_ord,Pol_fam,Pol_sp,Frequency
Achillea lanulosa,Common Yarrow,Asteraceae,Hymenoptera,Vespidae,Ancistrocerus sp.,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,1
Achillea lanulosa,Common Yarrow,Asteraceae,Coleoptera,Coccinellidae,Coccinella septempunctata,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Syrphidae,Eristalis rupium,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Syrphidae,Eristalis rupium,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hymenoptera,Braconidae,Family: Braconidae,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hemiptera,Miridae,Family: Miridae,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hymenoptera,Ichneumonidae,Family:Ichneumonidae sp.,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Family:Tachinidae sp.,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hemiptera,Scutelleridae,Homaemus sp.,1
Achillea lanulosa,Common Yarrow,Asteraceae,Hemiptera,Scutelleridae,Homaemus sp.,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Tachinidae,Pararchytas decisus,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Achillea lanulosa,Common Yarrow,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Antennaria rosea,Pink Pussytoes,Asteraceae,Hymenoptera,Vespidae,Ancistrocerus sp.,1
Antennaria rosea,Pink Pussytoes,Asteraceae,Hymenoptera,Formicidae,Formica podzolica,1
Antennaria rosea,Pink Pussytoes,Asteraceae,Hymenoptera,Formicidae,Formica podzolica,1
Antennaria rosea,Pink Pussytoes,Asteraceae,Hemiptera,Scutelleridae,Homaemus sp.,1
Antennaria rosea,Pink Pussytoes,Asteraceae,Hemiptera,Berytidae,Jalysus wickhami,1
Antennaria rosea,Pink Pussytoes,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Syrphidae,Arctophila flagrans,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Syrphidae,Cheilosia spp.,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Syrphidae,Chrysotoxum sp.,1
Arnica fulgens,Foothill Arnica,Asteraceae,Coleoptera,Coccinellidae,Coccinella septempunctata,1
Arnica fulgens,Foothill Arnica,Asteraceae,Lepidoptera,Pieridae,Colias alexandra,1
Arnica fulgens,Foothill Arnica,Asteraceae,Lepidoptera,Pieridae,Colias philodice,1
Arnica fulgens,Foothill Arnica,Asteraceae,Coleoptera,Curculionidae,Family: Curculionidae sp. 2,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hemiptera,Miridae,Family: Miridae,1
Arnica fulgens,Foothill Arnica,Asteraceae,Lepidoptera,Scythrididae,Family: Scythrididae,1
Arnica fulgens,Foothill Arnica,Asteraceae,Lepidoptera,Scythrididae,Family: Scythrididae,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hemiptera,Scutelleridae,Homaemus sp.,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Colletidae,Hylaeus personatellus,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Formicidae,Leptothorax muscorum,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hemiptera,Miridae,Lygus sp.,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Megachilidae,Megachile pugnata,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Megachilidae,Megachile relativa,1
Arnica fulgens,Foothill Arnica,Asteraceae,Hymenoptera,Megachilidae,Megachile relativa,1
Arnica fulgens,Foothill Arnica,Asteraceae,Lepidoptera,Hesperiidae,Polites draco,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
Arnica fulgens,Foothill Arnica,Asteraceae,Diptera,Muscidae,Thricops septentrionalis,1
